gene	total_expr_left (6OHDA+NDST3)	total_expr_right (6-OHDA)	expr_difference
Hdac8	26	16	10
Plg	23	13	10
Serpind1	21	11	10
Slc45a3	25	15	10
Syt15	28	18	10
6330409D20Rik	117	108	9
A430005L14Rik	79	70	9
Casz1	25	16	9
Cdkl4	39	30	9
Dzank1	83	74	9
Epb41l4a	125	116	9
Htr5a	65	56	9
Oprk1	37	28	9
Otud6b	16	7	9
Pcdhb2	24	15	9
Rbp4	57	48	9
Sbno2	21	12	9
Tgfbrap1	43	34	9
Tmem196	59	50	9
Zfp521	127	118	9
Alox8	132	124	8
Bmp8b	13	5	8
Catsperd	10	2	8
Cd36	23	15	8
Dok7	134	126	8
Dpp4	23	15	8
Mvd	195	187	8
Nhs	81	73	8
Peg10	25	17	8
Rassf6	12	4	8
Scn9a	31	23	8
Sh3bgr	24	16	8
Sh3rf2	11	3	8
Spata1	17	9	8
Tfap2b	15	7	8
Tmem204	101	93	8
Ttc30a1	30	22	8
Zfp114	35	27	8
Aass	31	24	7
Adamts8	10	3	7
Arhgap24	18	11	7
Arhgap8	16	9	7
Cabp5	13	6	7
Cyp27a1	164	157	7
Defb1	17	10	7
Dusp27	50	43	7
Eno4	32	25	7
F2r	16	9	7
Fat3	57	50	7
Gm45194	14	7	7
Hmga1b	17	10	7
Hmgcs1	1442	1435	7
Hs3st3b1	14	7	7
Kcnq1	11	4	7
Med8	69	62	7
Nkx6-1	21	14	7
Nup37	15	8	7
Otp	10	3	7
Phldb2	21	14	7
Plcxd1	19	12	7
Qpctl	86	79	7
Rasgrp4	9	2	7
Selenok	188	181	7
Sfrp2	22	15	7
Slc22a21	56	49	7
Slc23a4	17	10	7
Snapc2	22	15	7
Srsf2	56	49	7
Trim66	34	27	7
Vmo1	15	8	7
Xlr5c	7	0	7
1700001J03Rik	8	2	6
Ace	36	30	6
Ackr4	6	0	6
Adcy7	39	33	6
Aym1	10	4	6
Bik	12	6	6
Cgn	37	31	6
Cox8b	13	7	6
Cxcl5	10	4	6
Ddx11	13	7	6
E2f2	15	9	6
Ern2	7	1	6
F12	43	37	6
Fancb	12	6	6
Glra1	48	42	6
Gm4881	12	6	6
Gpr3	44	38	6
Hint1	48	42	6
Htr1f	22	16	6
Lrp1	24	18	6
Mlkl	14	8	6
Mob3b	25	19	6
Opn4	17	11	6
Pgr	22	16	6
Popdc2	11	5	6
Prrxl1	14	8	6
Rel	71	65	6
Sim1	12	6	6
Slc1a6	27	21	6
Tacstd2	12	6	6
Tekt2	129	123	6
Tnmd	7	1	6
Ttc6	118	112	6
Ttll9	56	50	6
Tuba1b	13	7	6
Zfp54	18	12	6
1600014C23Rik	11	6	5
9930012K11Rik	8	3	5
A930002H24Rik	10	5	5
Ahnak2	7	2	5
Amd2	20	15	5
Ap1m2	9	4	5
Arhgap4	58	53	5
Asb18	15	10	5
Cish	50	45	5
Cyp4f16	19	14	5
Fbxo16	30	25	5
Ferd3l	7	2	5
Flt3l	61	56	5
Frmd7	30	25	5
Grtp1	36	31	5
Gstm2	13	8	5
Hhat	6	1	5
Hif3a	30	25	5
Hmcn2	6	1	5
Itprip	17	12	5
Kcnk13	11	6	5
Krt19	10	5	5
Lyrm1	171	166	5
Mgat4c	24	19	5
Mlf1	16	11	5
Myo1h	7	2	5
Neurog2	17	12	5
Oca2	5	0	5
Pole2	11	6	5
Rnpc3	81	76	5
Sost	11	6	5
Srebf2	186	181	5
Ssc4d	13	8	5
Tenm1	53	48	5
Tmc8	19	14	5
Tmem120a	46	41	5
Tmem218	6	1	5
Trdc	9	4	5
Vamp3	59	54	5
Zar1l	8	3	5
Zfp111	8	3	5
Zfp202	20	15	5
4930412O13Rik	18	14	4
4930455H04Rik	4	0	4
4930590J08Rik	4	0	4
A830018L16Rik	9	5	4
Aipl1	9	5	4
AL845275.1	8	4	4
Amh	6	2	4
Aox4	23	19	4
Ascl1	50	46	4
Atp10b	8	4	4
Bcl2l15	8	4	4
Brip1	6	2	4
Cdcp1	4	0	4
Cdh17	5	1	4
Cenpa	13	9	4
Cldnd2	7	3	4
Cnga4	5	1	4
Cyp3a13	23	19	4
D1Ertd622e	39	35	4
Dpy19l2	7	3	4
Enpp6	131	127	4
Erp27	7	3	4
Fam13b	12	8	4
Fam83g	7	3	4
Fars2	31	27	4
Fhdc1	390	386	4
Fndc11	12	8	4
Foxd1	17	13	4
Fut2	15	11	4
Fxn	10	6	4
Gm765	10	6	4
Gnb1l	55	51	4
Gp9	9	5	4
Grpr	25	21	4
Gucy1a2	141	137	4
Gulp1	9	5	4
Heyl	127	123	4
Hoxd1	4	0	4
Hypm	7	3	4
Ikbke	15	11	4
Insyn2a	14	10	4
Kcng4	34	30	4
Kcnq4	8	4	4
Kdelr3	9	5	4
Kdf1	6	2	4
Kif26a	15	11	4
Lgals2	10	6	4
Lig1	180	176	4
Lipo3	9	5	4
Lrrc25	4	0	4
Mettl7a3	5	1	4
Mybl1	41	37	4
Ndc1	21	17	4
Nrn1l	4	0	4
Oscar	8	4	4
Papolg	9	5	4
Pappa2	6	2	4
Paqr5	14	10	4
Pcsk6	46	42	4
Pde7b	16	12	4
Pdia5	15	11	4
Plcxd3	21	17	4
Pomc	6	2	4
Ptger4	30	26	4
Ptges3l	42	38	4
Pth2r	25	21	4
Pwwp3b	9	5	4
Rbp7	7	3	4
Rnf113a1	11	7	4
Sgk3	43	39	4
Slc6a12	19	15	4
Sln	5	1	4
Slpi	34	30	4
Smim10l2a	86	82	4
Smug1	14	10	4
Spp2	5	1	4
Srd5a2	5	1	4
Srms	5	1	4
Syce1	10	6	4
Timeless	12	8	4
Tmem184a	6	2	4
Tph2	14	10	4
Trbc2	13	9	4
Ubxn10	54	50	4
Usp49	167	163	4
Vmn1r53	6	2	4
Zfp488	20	16	4
Zfp526	12	8	4
Zfp882	9	5	4
2310030G06Rik	4	1	3
2810408A11Rik	6	3	3
4930502E18Rik	4	1	3
4930595D18Rik	10	7	3
4933430I17Rik	6	3	3
Abi3	53	50	3
AC141477.1	3	0	3
Acan	9	6	3
Ap5b1	10	7	3
Aqp6	3	0	3
Arg1	3	0	3
Bag2	18	15	3
Capn11	6	3	3
Casr	9	6	3
Ccdc150	3	0	3
Ccn6	8	5	3
Cd300lb	3	0	3
Cdh5	69	66	3
Cep164	123	120	3
Chrna3	85	82	3
Chrne	7	4	3
Cubn	18	15	3
Cxcl1	9	6	3
D930048N14Rik	11	8	3
Ddx42	68	65	3
Ddx49	79	76	3
Diaph3	6	3	3
Dmgdh	3	0	3
Dnajc22	11	8	3
Dynlrb2	6	3	3
Efcab11	7	4	3
Evi2	4	1	3
Fam25c	9	6	3
Fgf18	7	4	3
Fut4	9	6	3
Galr1	40	37	3
Gem	7	4	3
Gm10024	5	2	3
Gm19410	5	2	3
Gm4981	5	2	3
Gmeb1	35	32	3
Gng8	19	16	3
Gpr6	5	2	3
Greb1	20	17	3
Gtf2a1l	4	1	3
H2-Q2	26	23	3
H2-Q7	4	1	3
Hes3	5	2	3
Hypk	22	19	3
Ibsp	6	3	3
Idi1	13	10	3
Ido1	3	0	3
Ift88	155	152	3
Ighj4	3	0	3
Il17rb	5	2	3
Il1r2	10	7	3
Il23r	5	2	3
Katnbl1	39	36	3
Klf8	22	19	3
Krt78	3	0	3
Lax1	4	1	3
Lrch3	72	69	3
Lrg1	16	13	3
Lrrc66	8	5	3
Mastl	11	8	3
Mcm5	15	12	3
Myl6b	4	1	3
Myo3b	27	24	3
Nav1	14	11	3
Ninj2	12	9	3
Nnt	7	4	3
Nodal	6	3	3
Npffr2	8	5	3
Ntrk1	3	0	3
Odf1	3	0	3
Pah	4	1	3
Phf11c	7	4	3
Pirt	55	52	3
Prorsd1	19	16	3
Prrt4	8	5	3
Ptger3	33	30	3
Ptgis	34	31	3
Ptk7	28	25	3
Ranbp3l	14	11	3
Rgn	11	8	3
Scn7a	7	4	3
Sct	3	0	3
Slc13a1	3	0	3
Slc25a41	6	3	3
Slc34a3	5	2	3
Slc35d3	3	0	3
Slc39a2	6	3	3
Sox14	52	49	3
Sox21	9	6	3
Spdya	37	34	3
Sptlc3	3	0	3
Susd3	8	5	3
Thbd	5	2	3
Timm10b	41	38	3
Tmco5b	3	0	3
Tmem91	82	79	3
Tnfrsf12a	35	32	3
Traj25	4	1	3
Trappc6b	65	62	3
Txnrd3	56	53	3
Ufm1	175	172	3
Upk3bl	16	13	3
Zc3h12c	23	20	3
Zdhhc9	23	20	3
Zfp41	70	67	3
Zfp804b	20	17	3
1700016D06Rik	2	0	2
1810049J17Rik	6	4	2
4930523C07Rik	5	3	2
4933402D24Rik	7	5	2
A530084C06Rik	21	19	2
A930003A15Rik	2	0	2
Abcc10	52	50	2
Abcc6	4	2	2
Abcg5	3	1	2
Acmsd	2	0	2
Acot12	2	0	2
Acp7	27	25	2
Adgre1	3	1	2
Akap3	4	2	2
Amdhd1	2	0	2
Ano1	4	2	2
Apoa2	2	0	2
Arhgef39	5	3	2
Awat2	2	0	2
Barhl2	16	14	2
BC035044	3	1	2
Bcl2l10	9	7	2
Bmp15	4	2	2
Btk	10	8	2
C7	7	5	2
Cacna1f	3	1	2
Cand2	48	46	2
Catspere1	7	5	2
Ccdc121	3	1	2
Ccdc169	3	1	2
Ccdc18	3	1	2
Cd164l2	7	5	2
Cd80	2	0	2
Cd8b1	2	0	2
Cdkn2b	24	22	2
Ces5a	2	0	2
Cfap126	5	3	2
Cks2	2	0	2
Cldn18	2	0	2
Clec12a	2	0	2
Clhc1	3	1	2
Cmya5	3	1	2
Cnga2	2	0	2
Cnpy1	3	1	2
Col18a1	4	2	2
Col27a1	44	42	2
Col7a1	8	6	2
Cpa6	2	0	2
Cplane2	23	21	2
Cpsf4l	3	1	2
Cyb5r2	3	1	2
Cyp27b1	2	0	2
D6Wsu163e	10	8	2
Ddias	4	2	2
Dipk2b	8	6	2
Dkkl1	2	0	2
Dlec1	28	26	2
Dnaaf3	7	5	2
Dnah12	8	6	2
Dnah8	3	1	2
Dpep2.1	2	0	2
Dsc3	4	2	2
Dsg3	2	0	2
Ehd4	56	54	2
Ehf	2	0	2
Elf3	2	0	2
Esm1	4	2	2
Fam110c	6	4	2
Farp2	19	17	2
Fbxl21	2	0	2
Fbxo48	10	8	2
Fcnb	3	1	2
Fgf22	8	6	2
Foxc2	6	4	2
Foxd2	11	9	2
Foxi2	2	0	2
Foxr2	32	30	2
Ftl1-ps1	15	13	2
Gltpd2	2	0	2
Gm10188	6	4	2
Gm15155	3	1	2
Gm16181	2	0	2
Gm28729	6	4	2
Gm29695	8	6	2
Gm3264	52	50	2
Gm39653	2	0	2
Gm572	4	2	2
Gm648	2	0	2
Gm9955	4	2	2
Gnat1	3	1	2
Gnmt	11	9	2
Gpr1	6	4	2
Gpr149	20	18	2
Grhl2	2	0	2
Gspt2	210	208	2
Gstt4	2	0	2
Hand2	2	0	2
Hat1	68	66	2
Hepacam2	4	2	2
Hist1h1t	3	1	2
Hist1h2ac	3	1	2
Hist1h4d	2	0	2
Hpx	2	0	2
Hs3st6	3	1	2
Hspa1l	4	2	2
Itgb7	11	9	2
Kcnn4	2	0	2
Kif7	2	0	2
Klhl10	5	3	2
Krt14	2	0	2
Krt222	27	25	2
Lcmt2	7	5	2
Lcp1	8	6	2
Lhx1	56	54	2
Lrrc69	2	0	2
Lypd5	2	0	2
Mars2	4	2	2
Mc3r	8	6	2
Mcam	100	98	2
Mdc1	18	16	2
Mdh1b	2	0	2
Meox1	7	5	2
Mgmt	7	5	2
Mrc1	15	13	2
Mrgpre	34	32	2
Mrgprg	2	0	2
Mroh5	24	22	2
Mst1r	13	11	2
Mup20	2	0	2
Mup3	2	0	2
Mybph	4	2	2
Mypn	22	20	2
Myzap	2	0	2
Naip5	2	0	2
Nhlh2	29	27	2
Nppa	13	11	2
Nr5a2	4	2	2
Nrm	14	12	2
Nt5c1b	2	0	2
Nt5e	24	22	2
Nup43	48	46	2
Odf3l1	2	0	2
Oga	60	58	2
Oser1	12	10	2
Osgepl1	34	32	2
P2rx3	7	5	2
Pcdh18	91	89	2
Pcdhb1	7	5	2
Pde4c	5	3	2
Pde6a	2	0	2
Phf11d	3	1	2
Pifo	7	5	2
Pik3c2g	10	8	2
Pitx3	6	4	2
Pla2g4b	79	77	2
Plxnc1	30	28	2
Pnpla3	2	0	2
Poglut2	10	8	2
Prss32	4	2	2
Prss53	9	7	2
Prtn3	3	1	2
Pstpip1	10	8	2
Rem1	13	11	2
Rergl	3	1	2
Ribc1	5	3	2
Rictor	3	1	2
Ripk4	4	2	2
Rnf225	13	11	2
Rs1	3	1	2
Rufy4	2	0	2
Sbk3	53	51	2
Senp1	16	14	2
Serpinb6e	2	0	2
Shc2	56	54	2
Six5	8	6	2
Skap1	19	17	2
Slc1a7	7	5	2
Slc22a3	3	1	2
Slc2a5	46	44	2
Slc39a1	3	1	2
Slc5a1	3	1	2
Slc7a3	9	7	2
Slfn1	2	0	2
Smco3	4	2	2
Smtnl2	34	32	2
Sned1	9	7	2
Spn	2	0	2
Spta1	2	0	2
Ssmem1	2	0	2
St6galnac2.1	18	16	2
Stmnd1	3	1	2
Stpg1	2	0	2
Tarbp1	4	2	2
Tarbp2	51	49	2
Tcl1b2	2	0	2
Tctex1d1	2	0	2
Tdg	2	0	2
Tex24	2	0	2
Tldc2	9	7	2
Tmc5	5	3	2
Tmem232	6	4	2
Tmem82	7	5	2
Tnfrsf13c	4	2	2
Tnfsf13b	177	175	2
Traj12	4	2	2
Traj13	2	0	2
Traj59	11	9	2
Trbj2-2	2	0	2
Trbv12-2	2	0	2
Trdj2	6	4	2
Trim30b	3	1	2
Trip13	2	0	2
Troap	3	1	2
Tssk3	5	3	2
Ttll2	2	0	2
Tulp2	3	1	2
Twist1	6	4	2
Txlna	5	3	2
Txndc2	3	1	2
Ubac1	21	19	2
Ucn2	5	3	2
Usp27x	13	11	2
Vmn2r56	7	5	2
Vwa5b1	79	77	2
Vwce	8	6	2
Xkr5	7	5	2
Zbtb42	15	13	2
Zdhhc5	37	35	2
Zdhhc6	3	1	2
Zfp455	4	2	2
Zfp541	2	0	2
Zfp568	60	58	2
Zfp607a	2	0	2
Zfp868	12	10	2
Zfp92	30	28	2
Zfp947	2	0	2
Zfp952	103	101	2
Zic5	3	1	2
Zkscan5	178	176	2
1700011L22Rik	2	1	1
1700023F06Rik	9	8	1
1700028K03Rik	4	3	1
1700066B19Rik	1	0	1
1700125H20Rik	3	2	1
1810062G17Rik	1	0	1
2310046K23Rik	1	0	1
4833427G06Rik	2	1	1
4930452B06Rik	63	62	1
4930470P17Rik	1	0	1
4930486L24Rik	1	0	1
4933405L10Rik	3	2	1
4933424G06Rik	1	0	1
5830411N06Rik	2	1	1
9230102O04Rik	18	17	1
A3galt2	1	0	1
Abca12	3	2	1
Abca4	7	6	1
Abcb9	65	64	1
Acot9	19	18	1
Acsl1	20	19	1
Adam18	2	1	1
Adam21	11	10	1
Adamts18	9	8	1
Adgrf2	3	2	1
Adh4	1	0	1
Agpat2	1	0	1
AI182371	1	0	1
Aicda	1	0	1
AK157302	1	0	1
Aldh1a7	1	0	1
Ankrd65	1	0	1
Ankrd66	3	2	1
Anpep	10	9	1
Antxr2	3	2	1
Anxa8	1	0	1
Apol9a	1	0	1
Armc12	2	1	1
Art1	1	0	1
Ascl2	2	1	1
Asgr2	2	1	1
Asphd1	29	28	1
Aspn	2	1	1
Atp13a4	57	56	1
Atp8b3	1	0	1
Avpr1a	3	2	1
AY074887	1	0	1
B3gnt7	3	2	1
Baat	2	1	1
BC048679	1	0	1
BC049352	3	2	1
Bcl2a1c	1	0	1
Best1	10	9	1
Bhmt2	2	1	1
Bnc1	1	0	1
Bpifb3	1	0	1
Bpifc	2	1	1
Bst1	1	0	1
Btn2a2	2	1	1
C1rl	6	5	1
C8b	5	4	1
Cabyr	28	27	1
Cacng1	1	0	1
Car8	22	21	1
Car9	2	1	1
Casp14	1	0	1
Ccdc113	19	18	1
Ccdc157	32	31	1
Ccdc33	5	4	1
Ccdc78	1	0	1
Ccdc81	9	8	1
Ccr10	2	1	1
Ccr6	2	1	1
Cd163	2	1	1
Cd2	1	0	1
Cd209b	3	2	1
Cd244a	2	1	1
Cd70	10	9	1
Cdc25c	1	0	1
Ceacam10	1	0	1
Ceacam15	2	1	1
Ceacam20	1	0	1
Cebpz	10	9	1
Cenpe	2	1	1
Cenpo	27	26	1
Cep55	2	1	1
Cfap53	1	0	1
Cfap77	4	3	1
Cfap97	68	67	1
Chat	1	0	1
Chrm5	5	4	1
Chrnb1	8	7	1
Chrnb3	1	0	1
Cilp	1	0	1
Ckap2	7	6	1
Cldn23	2	1	1
Cldn8	1	0	1
Clec9a	1	0	1
Clic5	36	35	1
Clrn2	1	0	1
Clspn	2	1	1
Cmah	2	1	1
Cnksr1	1	0	1
Cntn3	9	8	1
Col23a1	52	51	1
Col5a1	65	64	1
Col6a5	7	6	1
Cpa5	1	0	1
Cplx4	1	0	1
Cpn2	1	0	1
Cr2	2	1	1
Crhbp	22	21	1
Crisp1	1	0	1
Crygn	1	0	1
Csf2rb	2	1	1
Csl	1	0	1
Cxcr6	1	0	1
Cym	1	0	1
D6Ertd527e	3	2	1
Dach2	1	0	1
Dcdc2b	1	0	1
Dcst1	1	0	1
Defb13	1	0	1
Defb50	1	0	1
Defb9	1	0	1
Dlx2	4	3	1
Dlx3	1	0	1
Dlx4	1	0	1
Dnah1	1	0	1
Dnah14	2	1	1
Dnah3	1	0	1
Dnajc5b	7	6	1
Dpy30	4	3	1
Duoxa1	2	1	1
Ecrg4	7	6	1
Eda2r	1	0	1
Efcab7	4	3	1
Efs	1	0	1
Enkur	5	4	1
Eps8l1	5	4	1
Erv3	1	0	1
Evx1	1	0	1
Evx2	2	1	1
Exoc3l2	2	1	1
F11	1	0	1
F2rl1	1	0	1
Fam169a	1	0	1
Fam178b	1	0	1
Fam187b	1	0	1
Fam20a	2	1	1
Fam216b	6	5	1
Fam24b	6	5	1
Fam3b	1	0	1
Fam71e2	1	0	1
Fam81b	1	0	1
Fam83b	1	0	1
Fbxo24	4	3	1
Fbxw10	2	1	1
Fcamr	1	0	1
Fdft1	42	41	1
Fgb	1	0	1
Fgf20	1	0	1
Fgf21	1	0	1
Fgf8	1	0	1
Fhl5	2	1	1
Fignl2	3	2	1
Fmo4	1	0	1
Foxl1	2	1	1
Fpr1	1	0	1
Frg1	32	31	1
Frmpd1	19	18	1
Fscn2	1	0	1
Fxyd3	2	1	1
Gadl1	1	0	1
Gal3st2	1	0	1
Galnt12	5	4	1
Gata1	1	0	1
Gcm2	1	0	1
Gdf2	1	0	1
Gimap4	2	1	1
Gm1110	1	0	1
Gm11437	1	0	1
Gm13212	1	0	1
Gm17266	1	0	1
Gm17455	1	0	1
Gm281	1	0	1
Gm32742	1	0	1
Gm3336	1	0	1
Gm37240	3	2	1
Gm40193	1	0	1
Gm4869	1	0	1
Gm4951	1	0	1
Gm4952	6	5	1
Gm5460	1	0	1
Gm5678	1	0	1
Gm5868	2	1	1
Gm6133	1	0	1
Gm7544	1	0	1
Gng5	3	2	1
Gnrhr	1	0	1
Gpha2	1	0	1
Gpr135	3	2	1
Gpr143	1	0	1
Gpr150	3	2	1
Gpr183	20	19	1
Grin3b	14	13	1
Gsc2	1	0	1
Gsdma3	1	0	1
Gulo	1	0	1
H2-M10.4	1	0	1
H2-Q10	2	1	1
H2al1j	1	0	1
Hamp2	2	1	1
Hao1	1	0	1
Hao2	1	0	1
Hcar2	1	0	1
Hcrt	2	1	1
Hemgn	2	1	1
Hesx1	1	0	1
Hnf4g	2	1	1
Hoxa2	1	0	1
Hoxc5	1	0	1
Hsd17b14	1	0	1
Hyls1	38	37	1
I830077J02Rik	1	0	1
Icos	1	0	1
Ido2	37	36	1
Ifi203	3	2	1
Ifi27l2a	1	0	1
Ifit1bl1	12	11	1
Ifna15	1	0	1
Iigp1	1	0	1
Ikbkg	4	3	1
Ikzf3	1	0	1
Il17re	1	0	1
Il1rapl2	15	14	1
Il1rl1	4	3	1
Il25	1	0	1
Il7r	3	2	1
Inhbe	1	0	1
Inip	16	15	1
Insrr	2	1	1
Iqca1l	1	0	1
Iqcf3	5	4	1
Isl1	3	2	1
Itih4	2	1	1
Ivl	1	0	1
Kcna5	10	9	1
Kcnh8	18	17	1
Kcnj5	14	13	1
Kcnk5	1	0	1
Kcnrg	4	3	1
Kif28	3	2	1
Klhl41	4	3	1
Klrc1	1	0	1
Klre1	1	0	1
Kntc1	1	0	1
Krt12	5	4	1
Krt8	1	0	1
Krtap17-1	1	0	1
Lbp	2	1	1
Lcn12	1	0	1
Ldlrad2	1	0	1
Lefty1	1	0	1
Lhcgr	1	0	1
Lif	4	3	1
Lmod3	1	0	1
Lrriq3	1	0	1
Ltb4r2	1	0	1
Lum	25	24	1
Mab21l4	1	0	1
Magix	3	2	1
Mall	2	1	1
Mansc4	1	0	1
Map3k15	20	19	1
Map3k19	11	10	1
01-Mar	1	0	1
10-Mar	4	3	1
05-Mar	28	27	1
Mbl2	1	0	1
Mboat4	1	0	1
Mc2r	1	0	1
Mcm7	4	3	1
Meis2	7	6	1
Melk	1	0	1
Met	12	11	1
Mettl21a	11	10	1
Mfsd2a	13	12	1
Moap1	5	4	1
Mogat1	1	0	1
Mpl	1	0	1
Mrgprh	2	1	1
Mrln	1	0	1
Mroh2a	1	0	1
Mstn	5	4	1
Mup11	1	0	1
Myh4	2	1	1
Mylk4	1	0	1
Myo1a	8	7	1
Myo3a	3	2	1
Myom1	3	2	1
Napsa	1	0	1
Nat8f2	6	5	1
Necab1	1	0	1
Neil3	5	4	1
Nepn	1	0	1
Neu2	1	0	1
Nfatc1	5	4	1
Nkpd1	1	0	1
Nlrp12	1	0	1
Nmrk2	11	10	1
Nmur2	1	0	1
Nox4	2	1	1
Noxa1	1	0	1
Npb	6	5	1
Npw	1	0	1
Nrg2	1	0	1
Nxf7	1	0	1
Nxnl2	3	2	1
Oas1c	12	11	1
Oaz3	5	4	1
Olfml3	2	1	1
Olfr1140	1	0	1
Olfr130	1	0	1
Olfr1344	1	0	1
Olfr1378	1	0	1
Olfr1509	1	0	1
Olfr152	1	0	1
Olfr166	1	0	1
Olfr211	1	0	1
Olfr266	1	0	1
Olfr267	1	0	1
Olfr554	1	0	1
Olfr568	1	0	1
Olfr655	2	1	1
Olfr683	1	0	1
Olfr686	1	0	1
Olfr876	1	0	1
Olfr985	1	0	1
Otoa	1	0	1
Pabpn1l	2	1	1
Pask	1	0	1
Pate11	1	0	1
Pax8	3	2	1
Pck1	1	0	1
Pdzk1	1	0	1
Pdzph1	7	6	1
Pebp4	1	0	1
Peli2	7	6	1
Perp	3	2	1
Phf11a	1	0	1
Pkdrej	3	2	1
Plaat5	2	1	1
Plac8	4	3	1
Plk4	10	9	1
Plscr5	9	8	1
Pnma5	12	11	1
Polr3g	2	1	1
Ppbp	2	1	1
Ppp1cc	26	25	1
Ppp1r1c	1	0	1
Pramef12	1	0	1
Prcd	2	1	1
Prdm12	8	7	1
Prdm2	29	28	1
Prdm5	1	0	1
Prf1	1	0	1
Prkag3	2	1	1
Prkdc	1	0	1
Prl	2	1	1
Procr	8	7	1
Prr19	1	0	1
Prss43	1	0	1
Prss56	1	0	1
Prss8	3	2	1
Ptger2	5	4	1
Qrfprl	18	17	1
Rab19	1	0	1
Rab44	1	0	1
Rad1	19	18	1
Rad21l	3	2	1
Rad51ap2	4	3	1
Radx	6	5	1
Raf1	44	43	1
Rag1	3	2	1
Rbm11	8	7	1
Rbm12b2	1	0	1
Rdh7	1	0	1
Rexo5	3	2	1
Rgs13	1	0	1
Rgsl1	1	0	1
Rhobtb1	10	9	1
Ripk3	1	0	1
Ripply1	1	0	1
Rmi2	1	0	1
Rnf43	30	29	1
Rtl1	2	1	1
Sall4	4	3	1
Scgb2a2	1	0	1
Scn11a	1	0	1
Scx	33	32	1
Sec16b	9	8	1
Sele	1	0	1
Sema3d	23	22	1
Senp8	116	115	1
Sft2d3	3	2	1
Sgtb	32	31	1
Sim2	6	5	1
Skint1	1	0	1
Slamf8	1	0	1
Slc10a1	1	0	1
Slc12a3	1	0	1
Slc12a8	5	4	1
Slc13a2	1	0	1
Slc17a8	5	4	1
Slc26a11	123	122	1
Slc27a5	5	4	1
Slc28a2	1	0	1
Slc30a2	1	0	1
Slc35d2	6	5	1
Slc39a4	1	0	1
Slc43a1	1	0	1
Slc45a2	1	0	1
Slc4a9	6	5	1
Slco1b2	1	0	1
Slco4a1	1	0	1
Slf1	11	10	1
Slfn14	1	0	1
Smco2	1	0	1
Smim22	2	1	1
Smpx	14	13	1
Sntn	1	0	1
Snx24	7	6	1
Snx31	5	4	1
Sox1	13	12	1
Sp8	2	1	1
Spaca3	1	0	1
Spaca5	1	0	1
Spaca9	1	0	1
Spx	2	1	1
Stac3	24	23	1
Stard4	46	45	1
Steap1	1	0	1
Stk31	1	0	1
Stkld1	2	1	1
Stoml3	3	2	1
Strit1	1	0	1
Sult3a2	1	0	1
Svs5	1	0	1
Syce1l	9	8	1
Syngr4	1	0	1
Sytl1	1	0	1
T	2	1	1
Taar4	1	0	1
Tas2r137	7	6	1
Tbc1d2	1	0	1
Tc2n	1	0	1
Tcea3	1	0	1
Tdrd6	1	0	1
Teddm2	8	7	1
Tepp	4	3	1
Tfpi2	1	0	1
Tgm5	1	0	1
Tktl1	1	0	1
Tlr12	3	2	1
Tm4sf4	1	0	1
Tmem102	1	0	1
Tmem17	33	32	1
Tmem207	1	0	1
Tmem233	1	0	1
Tmem235	1	0	1
Tmem249	1	0	1
Tmem262	2	1	1
